State/UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,literacy rate (%) rural,,,Estd. (00) students rural,,, Gross attendance ratiofor different levels ofeducation level of education in rural,,,,,,,,,,,,,, Net attendance ratio for different level of education in rural,,,,,,,,,,,,Age-specific attendance ratio by age-group in rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,female,persons,male,female,persons,primary (M),upper primary (M),"primary & upper (M)
primary",secondary (M),higher secondary (M),primary to higher secondary (M),above higher secondary (M),primary (F),upper primary (F),"primary & upper (F)
primary",secondary (F),higher secondary (F),primary to higher secondary (F),above higher secondary (F),primary (M),upper primary (M),primary & upper primary  (M),secondary (M),higher secondary (M),above higher secondary (M),primary (F),upper primary (F),primary & upper primary (F),secondary (F),higher secondary (F),above higher secondary (F),6-13 (M),14-17 (M),18-23 (M),24-29 (M),6-13 (F),14-17 (F),18-23 (F),24-29 (F),attending edu rural,Not attending edu rural,G edu primary,G edu upper primary,G edu secondary,G edu higher secondary,G edu graduate,G edu post- graduate and above,G edu diploma,pri govt.,pri pvt. aided,pri pvt. unaided,up pri govt.,up pri pvt. aided,up pri pvt. unaided,sec high govt.,sec high pvt. aided,sec high pvt. unaided,gradu. Above govt.,gradu. Above pvt. aided,gradu. Above pvt. unaided,d/c govt.,d/c pvt. aided,d/c pvt. unaided,dropping-out/discontinuance (M),dropping-out/discontinuance (F),never enrolled (M),never enrolled (F),computer rural,internet rural,
Tamil Nadu,81.9,64.7,73,42208,36959,79166,99,94,97,106,66,93,17,97,88,93,114,88,96,15,86,74,88,69,50,15,87,72,87,70,59,13,97,83,34,1,98,89,33,1,79469,4441,6399,5098,4945,7560,21349,51573,6630,195,35,106,165,28,34,207,48,27,21,38,57,4,9,26,368,416,12,31,130,342,
Telangana,68.8,47,58,26253,18147,44401,105,94,101,101,73,95,24,112,73,94,117,76,95,12,92,73,93,78,45,22,95,69,90,70,61,12,96,85,44,4,98,78,26,2,44957,1028,5228,5642,4739,11482,12616,18740,7911,192,9,147,132,3,58,169,2,123,43,8,95,3,1,14,336,355,48,124,30,132,
Tripura,91,83.6,87.5,3883,2445,6328,104,110,106,103,64,101,10,100,120,107,100,66,102,2,94,73,96,62,30,10,93,79,96,62,21,2,98,90,38,3,99,93,11,1,6598,1842,3499,3909,7151,7179,13647,24346,10361,416,11,13,243,0,1,254,3,8,37,0,0,7,2,2,279,453,49,52,32,57,
Uttar Pradesh,77.8,56.5,67.6,226213,180252,406465,106,79,97,66,62,87,15,98,79,91,64,53,81,13,79,49,84,34,33,14,75,46,79,35,25,12,85,70,35,6,80,68,29,3,426086,2529,2070,2486,4890,6817,8289,7550,10694,264,36,191,103,21,68,52,60,94,32,27,31,6,4,5,285,258,112,189,50,143,
Uttarakhand,91.5,74.6,83.7,11203,7395,18598,106,104,105,96,72,99,24,106,102,104,86,67,96,10,95,84,97,61,51,24,98,91,97,66,42,10,99,83,46,5,98,73,31,0,18728,27,2286,3627,5119,7029,8114,15384,21500,354,0,76,205,4,26,197,13,17,83,4,10,2,1,8,282,385,14,30,63,146,
West Bengal,78.7,68.3,73.6,69869,69869,139739,101,100,101,89,50,91,8,98,110,102,103,55,96,7,85,71,90,49,21,8,86,74,90,55,27,7,92,62,26,3,93,80,24,1,143155,3638,2159,4058,5990,8309,12486,10787,19383,382,7,24,257,6,5,232,8,4,50,3,5,6,2,4,389,362,79,98,31,81,
A & N Islands,82.9,78.9,81,166,268,434,113,90,104,107,95,103,5,140,64,95,115,77,94,22,90,56,85,51,78,5,100,58,85,60,34,22,97,98,15,1,96,78,39,24,444,0,6890,1901,5349,3424,14314,9055,6200,210,46,50,182,0,0,302,0,0,69,76,8,14,9,33,533,368,14,52,186,382,
Chandigarh,91.5,66.1,80.2,40,35,75,97,81,90,142,99,98,6,69,83,74,7,90,68,11,66,31,77,54,0,6,64,43,64,4,37,11,83,100,28,0,64,55,55,3,75,0,13652,16579,15753,12529,29039,12650,0,277,71,53,171,68,27,217,23,0,67,14,1,6,4,3,424,359,102,135,320,358,
Dadra & Nagar  Haveli,79.4,57.2,68.2,173,181,353,101,108,103,72,3,93,3,109,61,94,39,23,79,4,99,91,98,70,2,2,96,58,93,36,23,4,98,76,9,1,94,34,7,0,353,0,2591,1274,1676,6190,7782,0,0,546,104,0,205,7,0,87,5,0,0,34,1,2,9,0,413,328,210,202,80,101,
Daman & Diu,89,73.2,81.1,52,55,107,93,77,86,64,82,77,13,96,76,85,92,48,79,6,93,69,86,64,82,10,96,75,85,63,25,6,86,75,19,2,99,59,12,0,115,0,20170,11210,9104,11304,7477,0,0,77,118,50,99,111,0,283,141,0,60,27,0,20,0,13,461,436,18,66,180,422,
Lakshadweep,98.7,92.4,95.7,20,17,36,86,90,88,182,126,114,6,66,139,101,122,248,117,6,85,74,87,96,26,6,66,90,95,72,95,6,100,75,39,17,100,99,41,0,37,0,196,227,293,301,6028,3000,0,201,0,0,303,0,0,413,0,0,37,16,1,2,0,27,429,452,0,0,422,561,
Puducherry,93.4,77.8,85.9,542,367,910,110,88,101,125,33,95,19,97,108,100,136,77,99,12,100,87,95,10,24,14,96,96,100,97,75,11,100,100,60,0,100,99,40,4,910,139,7289,7557,1935,15169,6984,0,0,233,2,145,119,4,66,182,6,25,98,23,30,43,0,23,470,497,24,0,174,580,
all-India,79.8,61.3,70.8,1079060,875400,1954460,102,91,98,86,63,91,12,100,88,96,84,58,88,9,84,64,88,51,36,12,82,61,85,49,33,8,90,75,32,4,88,72,24,2,2022462,47713,2811,3242,5100,9031,11527,14604,13422,320,22,100,168,17,36,151,37,50,36,17,22,8,6,9,327,325,81,140,62,161,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
