State/UT,Government,Aided,Private,Others,Department of Education,Tribal Welfare Department,Local body,Social welfare Department,Ministry of Labor,Other Govt  managed schools,Kendriya Vidyalaya / Central School,Jawahar Navodaya Vidyalaya,Sainik School,Railway School,Central Tibetan School,Total Government,Government Aided,Private Unaided [Recognized],Unrecognized,Madarsa recognized [by Wakf board/Madarsa Board],Madarsa unrecognized,Primary,Primary with Upper Primary,Pr  with Up Pr  sec  and H Sec ,Pr  Up Pr  and Secondary Only,Upper Primary only,Upper Pr  and Secondary,Up  Pr  Secondary and Higher Sec,Secondary Only,Secondary with Higher Secondary,Higher Secondary only/Jr  College,Boys,Girls,Co-Educational,URBAN,RURAL,Ashram [Govt ],KGBV,Model School,Non-Ashram [Govt ],Eklavya Model Residential School,Others,Private,Primary,Primary with Upper Primary,Pr  with Up Pr  sec  and H Sec,Pr  Up Pr  and Secondary Only,Upper Primary only,Upper Pr  and Secondary,Up  Pr  Secondary and Higher Sec,Secondary Only,Secondary with Higher Secondary,Higher Secondary only/Jr  College,Primary,Primary with Upper Primary,Pr  with Up Pr  sec  and H Sec ,Pr  Up Pr  and Secondary Only,Upper Primary only,Upper Pr  and Secondary,Up  Pr  Secondary and Higher Sec,Secondary Only,Secondary with Higher Secondary,Higher Secondary only/Jr  College,CBSE,State Board,ICSE,International Board,Others
Puducherry,423,33,283,0,413,0,0,2,0,0,4,4,0,0,0,423,33,283,0,0,0,280,82,114,162,1,35,52,0,7,6,24,34,681,349,390,1,0,0,2,0,3,1,0,1,2,1,0,0,0,0,0,0,106,36,34,63,1,23,30,0,4,3,25,338,2,1,3
Punjab,19404,458,8495,280,19162,0,10,3,97,36,53,21,22,0,0,19404,458,8495,263,0,17,13872,2465,2840,2751,2657,1729,2077,4,62,180,224,502,27911,6384,22253,35,10,4,24,2,62,235,2,2,10,7,0,0,0,0,0,0,8617,358,1389,737,1803,1439,1915,0,35,67,1251,8036,174,0,2
Rajasthan,67578,0,35603,2493,37155,2451,27845,14,0,0,87,19,2,5,0,67578,0,35603,0,2464,29,38713,36174,19200,10404,212,146,651,12,160,2,19,1177,104478,17596,88078,67,191,5,142,25,234,1049,195,235,169,75,6,0,11,0,1,0,4940,8701,7129,2371,95,23,158,1,41,0,1125,29129,15,4,221
Sikkim,854,19,417,0,768,74,1,2,0,0,3,4,1,0,1,854,19,417,0,0,0,722,314,99,142,0,4,9,0,0,0,81,6,1203,115,1175,15,1,1,23,2,40,60,2,0,0,0,0,0,0,0,0,0,114,113,74,83,0,1,3,0,0,0,233,0,9,1,11
Tamil Nadu,37728,8355,12439,630,34314,334,1341,1149,0,541,43,0,1,5,0,37728,8355,12439,630,0,0,35970,9351,3472,1993,60,3829,4440,6,15,16,665,1145,57342,15123,44029,0,65,0,443,9,8,531,1543,690,91,61,1,217,234,0,1,0,15167,6878,658,251,33,2780,3403,1,3,4,943,20026,85,40,863
Telangana,29822,707,11621,205,3254,1923,24299,248,44,0,42,9,0,3,0,29822,707,11621,25,0,180,20753,7356,347,6332,0,5515,294,0,0,1758,549,1310,40496,11373,30982,372,475,176,831,5,31,277,4,2,1,14,0,3,0,0,0,0,6446,2514,195,2467,0,3676,225,0,0,702,201,12250,32,5,0
Tripura,4309,46,343,247,4282,8,0,2,0,2,11,4,0,0,0,4309,46,343,66,181,0,2578,1244,381,661,1,7,72,1,0,0,14,31,4900,409,4536,17,1,3,16,4,23,64,13,15,7,3,0,0,1,0,0,0,296,429,244,325,0,4,38,0,0,0,54,1020,4,0,43
Uttar Pradesh,163142,8090,87433,14570,161885,611,222,71,2,15,299,31,0,5,1,163142,8090,87433,42,11621,2907,161366,17175,4154,3003,63449,4046,9304,5034,5679,25,1302,4336,267597,29906,243329,395,657,24,560,15,655,2008,1482,293,101,85,462,112,182,111,157,3,54118,1085,547,198,19266,168,1088,223,218,2,2337,26300,206,125,2143
Uttarakhand,16934,616,5519,490,16786,61,22,0,0,1,63,1,0,0,0,16934,616,5519,117,342,31,14338,2188,578,211,3242,853,1705,277,147,20,139,347,23073,2466,21093,25,6,2,20,0,61,163,15,9,6,0,4,0,0,3,0,0,1452,138,65,17,346,140,396,18,16,2,519,3073,95,0,68
West Bengal,82876,127,11777,3048,81366,29,1320,14,20,7,88,11,2,19,0,82876,127,11777,1754,609,685,77869,1719,793,503,7530,2835,6560,0,1,18,1106,2821,93901,13294,84534,284,77,33,706,16,701,981,98,64,13,19,2,2,0,0,0,0,27290,107,149,67,3532,2050,5308,0,0,4,248,9798,183,1,71554
Total,1083678,84614,325760,55954,835440,45407,196517,2411,356,1322,1563,504,64,80,14,1083678,84614,325760,31944,19132,4878,826842,299789,56062,68103,142990,47955,34792,34430,23683,15360,15258,31436,1503312,245943,1304063,7810,3002,557,6567,280,5466,15277,10772,9338,669,1998,1377,1680,544,850,244,161,268402,124615,19538,24788,51947,26726,18295,10505,7628,2364,49472,300013,1865,588,78802
